game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P9176922,McHugh,,Charlotte,cf,1,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P6980804,Francis,,Charlotte,p,10,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P8771643,Duvie,,Charlotte,p,11,1,0,,0,,,,,,,,,,,,,,,,,,,,,1,,,,0,0,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P3053172,Garman,,Charlotte,1b,2,2,0,,0,,,,,,,,,,1,,,,,,,,,,,,,,,10,0,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P8859656,Cross,,Charlotte,3b,3,2,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,3,3,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P2487408,Humphrey,,Charlotte,rf,4,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P5667168,Coutts,,Charlotte,lf,5,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P8330474,Dobard,,Charlotte,ss,6,3,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P8643406,Hargrave,,Charlotte,2b,7,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P4199239,Taxis,,Charlotte,c,8,3,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P1912371,Brazille,,Charlotte,p,9,3,0,,0,,,,,,,,,,,,,,,,,,,,2,2,,,,0,2,2,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,,TOTALS,,Charlotte,,,31,2,,6,,,,,,,,,,,,6,,,,,,,,,,,,,24,11,4,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P9916119,Jenkins,,Greenville,3b,1,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P1459250,Ochs,,Greenville,rf,2,5,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,,5,0,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P4086333,Derrick,F.,Greenville,1b,3,4,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,8,0,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P5131450,Derrick,C.,Greenville,ss,4,5,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P2736906,Cashion,,Greenville,cf,5,5,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P9466379,Blackstone,,Greenville,lf,6,4,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P6199305,Wingo,,Greenville,c,7,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,5,2,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P0492891,Stouch,,Greenville,2b,8,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,P6171627,Redfern,,Greenville,p,9,2,0,,1,,,,,,,1,,,,,,,,,,,,,4,4,,,,1,1,0,,,,
HNGSHCW,1910,Carolina Association,1910-05-12,0,regular,,TOTALS,,Greenville,,,37,6,1,11,,,,,,,,,,,,12,,,,,,,,,,,,,27,13,0,,,,
