key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18
JGCQFCC,1911-05-15,0,Central,regular,,Zanesville,4,,Dayton,2,,,2:00,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,0,1,0,0,0,0,2,1,0,,,,,,,,,,1,0,0,0,0,0,0,0,1,,,,,,,,,
ZQVPWCH,1911-05-15,0,Central,regular,,Wheeling,4,,Fort Wayne,6,,,1:40,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,4,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,3,0,0,0,0,3,x,,,,,,,,,
JNDZZTH,1911-05-15,0,Central,regular,,Evansville,1,,Grand Rapids I,3,,,1:30,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,1,0,0,0,0,0,0,0,0,,,,,,,,,,0,3,0,0,0,0,0,0,0,,,,,,,,,
QDPSZDR,1911-05-15,0,Central,regular,,Terre Haute,2,,South Bend I,3,,,2:00,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,0,1,0,0,0,0,0,0,1,0,,,,,,,,,1,0,0,0,0,0,0,0,1,1,,,,,,,,
DXKTMTG,1911-05-16,0,Central,regular,,Wheeling,0,,Dayton,2,,,1:40,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,2,0,0,x,,,,,,,,,
ZLDBBYW,1911-05-16,0,Central,regular,,Zanesville,,,Fort Wayne,,,,2:10,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XNKHKKX,1911-05-16,0,Central,regular,,Terre Haute,1,,Grand Rapids I,5,,,1:50,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,1,1,0,3,0,0,0,x,,,,,,,,,
PSSKZJN,1911-05-16,0,Central,regular,,Evansville,5,,South Bend I,6,,,2:50,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,0,0,0,5,0,0,0,0,0,0,0,,,,,,,,0,0,0,3,0,2,0,0,0,0,1,,,,,,,
TKNRNJT,1911-05-17,0,Central,regular,,Wheeling,5,,Dayton,7,,,1:55,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,0,0,0,0,3,0,0,2,0,,,,,,,,,,2,4,0,0,1,0,0,0,x,,,,,,,,,
NXBWPMB,1911-05-17,0,Central,regular,,Zanesville,6,,Fort Wayne,11,,,2:10,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,0,0,0,0,1,1,0,2,2,,,,,,,,,,4,0,2,2,0,0,0,3,x,,,,,,,,,
XHGJTGF,1911-05-17,0,Central,regular,,Terre Haute,3,,Grand Rapids I,4,,,1:35,,,,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,0,0,0,0,0,2,0,1,0,,,,,,,,,,2,0,1,1,0,0,0,0,x,,,,,,,,,
WBSZZSH,1911-05-17,0,Central,regular,,Evansville,1,,South Bend I,7,,,1:35,,completed-early,Forfeited to South Bend I due to Evansville delay tactics,,transcript/1911/1911-SL/boxes/CENL-19110514.txt,,0,0,0,1,0,0,0,,,,,,,,,,,,0,0,3,2,0,3,2,,,,,,,,,,,
