game.key,game.date,game.number,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_LOB,B_ROE,P_IP,P_R,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Murphy,,St. Boniface,3b,7,3,0,,0,,,,,,,,,,,,,,,,,,,,,1,4,1,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Stephanson,,St. Boniface,rf,8,2,0,,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Garvey,,St. Boniface,p,9,3,1,,0,,,,,,,,,,,,,8.2,,11,4,,,,,0,2,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,TOTALS,,St. Boniface,,,30,7,,8,,,,,,,,,,,2,,,,,,,,,,27,16,1,,,
8a37a349-ab68-5e32-bd1f-95dad388d74d,1915-05-11,0,TOTALS,,Grand Forks,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a37a349-ab68-5e32-bd1f-95dad388d74d,1915-05-11,0,Dorman,,Virginia,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a37a349-ab68-5e32-bd1f-95dad388d74d,1915-05-11,0,TOTALS,,Virginia,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e59e21ba-598e-58f1-a2f0-d50b5a85292a,1915-05-11,0,Burgwald,,Superior,3b,1,6,0,,1,,,,,,,,,,,,,,,,,,,,,1,2,0,1,,
e59e21ba-598e-58f1-a2f0-d50b5a85292a,1915-05-11,0,Branon,,Superior,p,10,3,0,,1,,,,,,,,,,1,,,6,,5,5,5,1,1,,0,3,2,,,
e59e21ba-598e-58f1-a2f0-d50b5a85292a,1915-05-11,0,Kurke,,Superior,ph,11,1,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
e59e21ba-598e-58f1-a2f0-d50b5a85292a,1915-05-11,0,McGee,,Superior,2b,2,5,2,,2,1,,,,,,,,,1,,,,,,,,,,,3,4,0,,,
e59e21ba-598e-58f1-a2f0-d50b5a85292a,1915-05-11,0,Curtis [Sup],,Superior,1b,3,4,1,,0,,,,,,,,,,1,,,,,,,,,,,11,2,0,1,,
e59e21ba-598e-58f1-a2f0-d50b5a85292a,1915-05-11,0,Swalm,,Superior,lf,4,2,1,,0,,,,,,,,,1,1,,,,,,,,,,,3,0,0,,,
e59e21ba-598e-58f1-a2f0-d50b5a85292a,1915-05-11,0,Glass,,Superior,rf,5,5,2,,3,1,1,,,,,,,,,,,,,,,,,,,1,0,0,,,
e59e21ba-598e-58f1-a2f0-d50b5a85292a,1915-05-11,0,Bassey,,Superior,cf,6,5,3,,3,,1,,,,,,,,1,,,,,,,,,,,1,0,0,,,
e59e21ba-598e-58f1-a2f0-d50b5a85292a,1915-05-11,0,Girth,,Superior,ss,7,4,1,,2,,,,,,,,,,,,,,,,,,,,,0,1,1,,,
e59e21ba-598e-58f1-a2f0-d50b5a85292a,1915-05-11,0,Berger,,Superior,c,8,4,0,,2,,,,,,,,,,1,,,,,,,,,,,7,3,0,1,,1
e59e21ba-598e-58f1-a2f0-d50b5a85292a,1915-05-11,0,Leon,,Superior,p,9,1,0,,0,,,,,,,,,,,,,3,,1,6,1,,,,0,0,0,,,
